src,dst,rel,strength
hecke-index-theorem,multiplicative-composition-law,REALIZES,THEOREM
hecke-operator,spectral-framework,INSTANCE_OF,HEURISTIC
hecke-operator,hecke-correspondence,REALIZES,THEOREM
hecke-operator,experiments/tfpt-discovery/hecke_broadcast_probe.py,USED_BY,HEURISTIC
herglotz-function,experiments/tfpt-discovery/port_loewner_identity_probe.py,USED_BY,HEURISTIC
herglotz-function,experiments/tfpt-discovery/port_weyl_cocycle_probe.py,USED_BY,HEURISTIC
herglotz-function,experiments/tfpt-discovery/prime_e8_ordered_herglotz_probe.py,USED_BY,HEURISTIC
herglotz-function,experiments/tfpt-discovery/z1_variable_edge_mfunction_probe.py,USED_BY,HEURISTIC
herglotz-function,rh/problem/verify_debranges_index.py,USED_BY,HEURISTIC
herglotz-function,verification/v772_qf_feshbach_effective.py,USED_BY,HEURISTIC
herglotz-function,verification/v947_loewner_pick_dictionary.py,USED_BY,HEURISTIC
hermite-biehler-class,hilbert-polya-operator,REQUIRES,CONDITIONAL
hilbert-polya-operator,spectral-framework,INSTANCE_OF,HEURISTIC
hilbert-polya-operator,e8-theta-heat-operator,REQUIRES,HEURISTIC
hilbert-polya-operator,finite-weil-gns-metric,REQUIRES,HEURISTIC
hilbert-polya-operator,no-archimedean-prime-joint-space,REQUIRES,CONDITIONAL
hilbert-polya-operator,seam-modular-generator,REQUIRES,HEURISTIC
hilbert-polya-operator,unitarity-of-emergent-time,REQUIRES,CONDITIONAL
hilbert-polya-operator,big_picture_2026-08-02_de.tex,USED_BY,HEURISTIC
hilbert-polya-operator,experiments/tfpt-discovery/moonshot_spectral_probe.py,USED_BY,HEURISTIC
hilbert-polya-operator,experiments/tfpt-discovery/moonshot_state_probe.py,USED_BY,HEURISTIC
hilbert-polya-operator,experiments/tfpt-discovery/stage4_prolate_prototype_probe.py,USED_BY,HEURISTIC
hilbert-polya-operator,experiments/tfpt-discovery/weil_recovery_compiler_sector_probe.py,USED_BY,HEURISTIC
hilbert-polya-operator,experiments/tfpt-discovery/z1_edge_signature_probe.py,USED_BY,HEURISTIC
hilbert-polya-operator,riemann-hypothesis,WOULD_CLOSE,CONDITIONAL
hnf-groupoid,euler-side-blindness,BLOCKED_BY,CONDITIONAL
hnf-groupoid,analytic-object,INSTANCE_OF,HEURISTIC
hnf-groupoid,experiments/tfpt-discovery/groupoid_halfdensity_probe.py,KILLED_BY,CONDITIONAL
hodge-riemann-positivity-candidate,no-archimedean-prime-joint-space,BLOCKED_BY,CONDITIONAL
hodge-riemann-positivity-candidate,analytic-object,INSTANCE_OF,HEURISTIC
horizon-replica-positivity,positive-cone-blindness,BLOCKED_BY,CONDITIONAL
horizon-replica-positivity,analytic-object,INSTANCE_OF,HEURISTIC
hyperbolic-ruelle-dynamics,no-composite-orbits,BLOCKED_BY,HEURISTIC
hyperbolic-ruelle-dynamics,arithmetic-geometry,INSTANCE_OF,HEURISTIC
hypercontractivity,analytic-object,INSTANCE_OF,HEURISTIC
hypercontractivity,prime-torus,REQUIRES,THEOREM
i5-transport-ledger-criterion,weil-positivity,EQUIVALENT_TO,THEOREM
i5-transport-ledger-criterion,positivity-criterion,INSTANCE_OF,HEURISTIC
i5-transport-ledger-criterion,experiments/tfpt-discovery/i5_tightness_probe.py,USED_BY,HEURISTIC
i5-transport-ledger-criterion,verification/v541_matching_lemma_ledger.py,USED_BY,HEURISTIC
index-flow-time,spectral-framework,INSTANCE_OF,HEURISTIC
index-modular-state,research-question,INSTANCE_OF,HEURISTIC
index-modular-state,event-log-function,WOULD_CLOSE,CONDITIONAL
infinite-rank-prime-fourier-module,analytic-object,INSTANCE_OF,HEURISTIC
infinite-rank-prime-fourier-module,prime-torus,REALIZES,THEOREM
inner-bridges,tfpt-compiler,INSTANCE_OF,HEURISTIC
inner-bridges,outer-bridges,REQUIRES,CONDITIONAL
inner-bridges,rh/lean/RH/InnerBridges.lean,USED_BY,HEURISTIC
inner-bridges,rh/problem/inner_bridges.tex,USED_BY,HEURISTIC
inner-bridges,rh/problem/verify_inner_bridges.py,USED_BY,HEURISTIC
ising-lee-yang-compiler,spectral-framework,INSTANCE_OF,HEURISTIC
ising-lee-yang-compiler,lee-yang-property,REDUCES_TO,CONDITIONAL
jensen-hyperbolicity,laguerre-polya-class,EQUIVALENT_TO,THEOREM
jensen-hyperbolicity,riemann-hypothesis,EQUIVALENT_TO,THEOREM
jensen-hyperbolicity,positivity-criterion,INSTANCE_OF,HEURISTIC
jensen-polynomials,analytic-object,INSTANCE_OF,HEURISTIC
jensen-polynomials,riemann-xi,REQUIRES,THEOREM
jensen-polynomials,toeplitz-positivity,REQUIRES,CONDITIONAL
jensen-polynomials,experiments/tfpt-discovery/jensen_compiler_rigidity_probe.py,USED_BY,HEURISTIC
k3-hodge-lattice,analytic-object,INSTANCE_OF,HEURISTIC
k3-hodge-lattice,hodge-riemann-positivity-candidate,INSTANCE_OF,THEOREM
kasteleyn-orientation-language,positive-cone-blindness,BLOCKED_BY,CONDITIONAL
kasteleyn-orientation-language,positive-cone-blindness,BLOCKED_BY,CONDITIONAL
kasteleyn-orientation-language,spectral-framework,INSTANCE_OF,HEURISTIC
knauf-arithmetic-statistical-system,analytic-object,INSTANCE_OF,HEURISTIC
knauf-arithmetic-statistical-system,event-log-function,WOULD_CLOSE,HEURISTIC
kneser-groupoid,euler-side-blindness,BLOCKED_BY,CONDITIONAL
kneser-groupoid,analytic-object,INSTANCE_OF,HEURISTIC
kneser-groupoid,experiments/tfpt-discovery/kneser_groupoid_halfdensity_probe.py,KILLED_BY,CONDITIONAL
koide-mobius-flow,finite-clock-commensurability,BLOCKED_BY,THEOREM
koide-mobius-flow,no-canonical-integer-label,BLOCKED_BY,THEOREM
koide-mobius-flow,analytic-object,INSTANCE_OF,HEURISTIC
kps-theorem,lee-yang-property,IMPLIES,THEOREM
kps-theorem,analytic-object,INSTANCE_OF,HEURISTIC
kps-theorem,van-dantzig-pair,REQUIRES,THEOREM
laguerre-polya-class,experiments/tfpt-discovery/mellin_cofactor_nonreal_zero_probe.py,KILLED_BY,HEURISTIC
laguerre-polya-class,experiments/tfpt-discovery/mellin_cofactor_nonreal_zero_probe.py,USED_BY,HEURISTIC
lambda-star-ladder,analytic-object,INSTANCE_OF,HEURISTIC
lambda-star-ladder,finite-weil-window,REQUIRES,CONDITIONAL
lambda-star-ladder,experiments/tfpt-discovery/kernel_loewner_window_probe.py,USED_BY,HEURISTIC
lambda-star-ladder,experiments/tfpt-discovery/margin_law_symreg_probe.py,USED_BY,HEURISTIC
lambda-star-ladder,experiments/tfpt-discovery/weil_window_profile_scout.py,USED_BY,HEURISTIC
lambda-star-ladder,experiments/tfpt-discovery/weil_window_profile_scout_result.json,USED_BY,HEURISTIC
lambert-w,analytic-object,INSTANCE_OF,HEURISTIC
lambert-w,mellin-transform,REQUIRES,CONDITIONAL
lambert-w,saddle-point-method,REQUIRES,HEURISTIC
landau-widom-asymptotics,analytic-object,INSTANCE_OF,HEURISTIC
lapidus-maier-fractal-string-criterion,weil-positivity,EQUIVALENT_TO,THEOREM
lapidus-maier-fractal-string-criterion,analytic-object,INSTANCE_OF,HEURISTIC
laplace-transform,spectral-framework,INSTANCE_OF,HEURISTIC
laplace-transform,mellin-transform,TRANSFORM_OF,CONDITIONAL
lee-yang-property,positivity-criterion,INSTANCE_OF,HEURISTIC
lee-yang-property,laguerre-polya-class,REQUIRES,CONDITIONAL
li-coefficients,analytic-object,INSTANCE_OF,HEURISTIC
li-criterion,riemann-hypothesis,EQUIVALENT_TO,THEOREM
li-criterion,positivity-criterion,INSTANCE_OF,HEURISTIC
li-criterion,li-coefficients,REQUIRES,THEOREM
lstar-statement,barrier-prime-phase-coherence,BLOCKED_BY,CONDITIONAL
lstar-statement,finite-weil-window,EQUIVALENT_TO,THEOREM
lstar-statement,research-question,INSTANCE_OF,HEURISTIC
lstar-statement,experiments/tfpt-discovery/fullsource_quasidefiniteness_probe.py,USED_BY,HEURISTIC
lstar-statement,rh/problem/verify_lstar_instance.py,USED_BY,HEURISTIC
lstar-statement,finite-weil-window,WOULD_CLOSE,CONDITIONAL
lstar-statement,w3-uniform-window-positivity,WOULD_CLOSE,CONDITIONAL
main-world,scrarith-world,DUAL_TO,HEURISTIC
main-world,smooth-world,DUAL_TO,HEURISTIC
markov-qca-unitary-dilation,no-archimedean-prime-joint-space,BLOCKED_BY,THEOREM
markov-qca-unitary-dilation,spectral-framework,INSTANCE_OF,HEURISTIC
matching-ledger-positivity,positive-cone-blindness,BLOCKED_BY,THEOREM
matching-ledger-positivity,analytic-object,INSTANCE_OF,HEURISTIC
mellin-transform,spectral-framework,INSTANCE_OF,HEURISTIC
mellin-transform,fourier-transform,TRANSFORM_OF,CONDITIONAL
metric-by-operator-positivity,spectral-framework,INSTANCE_OF,HEURISTIC
mobius-scale-group,spectral-framework,INSTANCE_OF,HEURISTIC
mobius-scale-group,connes-adele-scaling-flow,REDUCES_TO,THEOREM
mobius-strip-topology,no-archimedean-prime-joint-space,BLOCKED_BY,HEURISTIC
mobius-strip-topology,arithmetic-geometry,INSTANCE_OF,HEURISTIC
modular-clock,no-canonical-integer-label,BLOCKED_BY,HEURISTIC
modular-clock,spectral-framework,INSTANCE_OF,HEURISTIC
modular-clock,census-qsm,WOULD_CLOSE,CONDITIONAL
modular-surface,arithmetic-geometry,INSTANCE_OF,HEURISTIC
modular-surface,eisenstein-series,REALIZES,CONDITIONAL
montgomery-conjecture,pair-correlation,EQUIVALENT_TO,CONDITIONAL
montgomery-conjecture,research-question,INSTANCE_OF,HEURISTIC
mu4-mark,class-number-formula-q-i,INSTANCE_OF,THEOREM
mu4-mark,tfpt-compiler,INSTANCE_OF,HEURISTIC
multiplicative-composition-law,analytic-object,INSTANCE_OF,HEURISTIC
murru-salvatori,spectral-framework,INSTANCE_OF,HEURISTIC
murru-salvatori,regulator-jump,REQUIRES,HEURISTIC
narrowband-weil,spectral-framework,INSTANCE_OF,HEURISTIC
narrowband-weil,finite-weil-window,SPECIAL_CASE_OF,CONDITIONAL
narrowband-weil,experiments/tfpt-discovery/narrowband_weil_probe.py,USED_BY,HEURISTIC
narrowband-weil,rh/problem/narrowband_weil.tex,USED_BY,HEURISTIC
narrowband-weil,rh/problem/verify_narrowband_weil.py,USED_BY,HEURISTIC
negative-explosion-criterion-a,weil-positivity,EQUIVALENT_TO,CONDITIONAL
negative-explosion-criterion-a,positivity-criterion,INSTANCE_OF,HEURISTIC
negative-explosion-criterion-a,gaussian-smoothed-zero-density,REQUIRES,THEOREM
negative-explosion-criterion-a,experiments/tfpt-discovery/heat_gabor_restatement_probe.py,USED_BY,CONDITIONAL
newman-criterion,riemann-hypothesis,EQUIVALENT_TO,THEOREM
newman-criterion,positivity-criterion,INSTANCE_OF,HEURISTIC
newman-criterion,debruijn-newman-constant,REQUIRES,THEOREM
no-archimedean-prime-joint-space,obstruction-class,INSTANCE_OF,HEURISTIC
no-canonical-integer-label,obstruction-class,INSTANCE_OF,HEURISTIC
no-composite-orbits,obstruction-class,INSTANCE_OF,HEURISTIC
no-composite-orbits,adele-class-space,REQUIRES,CONDITIONAL
nyman-beurling-criterion,hardy-space-h2,DUAL_TO,THEOREM
nyman-beurling-criterion,riemann-hypothesis,EQUIVALENT_TO,THEOREM
nyman-beurling-criterion,positivity-criterion,INSTANCE_OF,HEURISTIC
nyman-beurling-criterion,nyman-beurling-space,REQUIRES,THEOREM
nyman-beurling-criterion,experiments/tfpt-discovery/baez_duarte_probe.py,USED_BY,HEURISTIC
nyman-beurling-criterion,experiments/tfpt-discovery/criteria_atlas_probe.py,USED_BY,HEURISTIC
nyman-beurling-criterion,verification/v667_baez_duarte.py,USED_BY,HEURISTIC
nyman-beurling-space,analytic-object,INSTANCE_OF,HEURISTIC
open-autonomous-prime-generator,finite-clock-commensurability,BLOCKED_BY,THEOREM
open-autonomous-prime-generator,research-question,INSTANCE_OF,HEURISTIC
open-autonomous-prime-generator,static-prime-event-log,WOULD_CLOSE,CONDITIONAL
open-gabor-window-positivity,barrier-finite-window-ceiling,BLOCKED_BY,CONDITIONAL
open-gabor-window-positivity,research-question,INSTANCE_OF,HEURISTIC
open-gabor-window-positivity,gabor-pure-criterion,WOULD_CLOSE,CONDITIONAL
open-global-all-place-intersection,barrier-arch-compensation,BLOCKED_BY,CONDITIONAL
open-global-all-place-intersection,research-question,INSTANCE_OF,HEURISTIC
open-global-all-place-intersection,rh/catalog/analysis/all_place_tate_audit.md,USED_BY,HEURISTIC
open-global-all-place-intersection,additive-adeles,WOULD_CLOSE,CONDITIONAL
open-global-all-place-intersection,arakelov-intersection,WOULD_CLOSE,CONDITIONAL
open-global-all-place-intersection,weil-quadratic-form,WOULD_CLOSE,CONDITIONAL
open-half-density-geometry,barrier-unimodularity,BLOCKED_BY,CONDITIONAL
open-half-density-geometry,research-question,INSTANCE_OF,HEURISTIC
open-half-density-geometry,experiments/tfpt-discovery/kneser_groupoid_halfdensity_probe.py,KILLED_BY,CONDITIONAL
open-half-density-geometry,experiments/tfpt-discovery/parabolic_detline2_probe.py,KILLED_BY,CONDITIONAL
open-half-density-geometry,gate-zero,WOULD_CLOSE,CONDITIONAL
open-half-density-geometry,half-density,WOULD_CLOSE,CONDITIONAL
open-independent-positivity-source,barrier-circularity,BLOCKED_BY,CONDITIONAL
open-independent-positivity-source,research-question,INSTANCE_OF,HEURISTIC
open-independent-positivity-source,experiments/tfpt-discovery/geometric_sos_probe.py,USED_BY,HEURISTIC
open-independent-positivity-source,experiments/tfpt-discovery/strat2_rp_universality_probe.py,USED_BY,HEURISTIC
open-independent-positivity-source,verification/v902_wall_relocation_map.py,USED_BY,HEURISTIC
open-independent-positivity-source,hilbert-polya-operator,WOULD_CLOSE,CONDITIONAL
open-independent-positivity-source,lstar-statement,WOULD_CLOSE,CONDITIONAL
open-independent-positivity-source,metric-by-operator-positivity,WOULD_CLOSE,CONDITIONAL
open-independent-positivity-source,positivity-semigroup,WOULD_CLOSE,CONDITIONAL
open-independent-positivity-source,weil-positivity,WOULD_CLOSE,CONDITIONAL
open-lambda-star-scale-law,barrier-finite-window-ceiling,BLOCKED_BY,CONDITIONAL
open-lambda-star-scale-law,research-question,INSTANCE_OF,HEURISTIC
open-lambda-star-scale-law,lambda-star-ladder,WOULD_CLOSE,CONDITIONAL
open-prime-phase-control,barrier-prime-phase-coherence,BLOCKED_BY,CONDITIONAL
open-prime-phase-control,barrier-world-blind,BLOCKED_BY,CONDITIONAL
open-prime-phase-control,research-question,INSTANCE_OF,HEURISTIC
open-prime-phase-control,weil-prime-term,WOULD_CLOSE,CONDITIONAL
open-relative-determinant-identity,barrier-structural-mismatch,BLOCKED_BY,CONDITIONAL
open-relative-determinant-identity,research-question,INSTANCE_OF,HEURISTIC
open-relative-determinant-identity,explicit-formula,WOULD_CLOSE,CONDITIONAL
open-relative-determinant-identity,relative-determinant,WOULD_CLOSE,CONDITIONAL
openai-long-prime-gaps,riemann-hypothesis,BLOCKED_BY,HEURISTIC
openai-long-prime-gaps,spectral-framework,INSTANCE_OF,HEURISTIC
outer-bridges,tfpt-compiler,INSTANCE_OF,HEURISTIC
outer-bridges,selected-window-family,REDUCES_TO,CONDITIONAL
outer-bridges,rh/problem/outer_bridges.pdf,USED_BY,HEURISTIC
outer-bridges,rh/problem/outer_bridges.tex,USED_BY,HEURISTIC
p1-gauss-bonnet-positive-normalization,positive-cone-blindness,BLOCKED_BY,THEOREM
p1-gauss-bonnet-positive-normalization,analytic-object,INSTANCE_OF,HEURISTIC
pair-correlation,gue-statistics,EQUIVALENT_TO,CONDITIONAL
pair-correlation,analytic-object,INSTANCE_OF,HEURISTIC
pair-correlation,experiments/tfpt-discovery/lamzouri_hilbert_adjudication_probe.py,USED_BY,HEURISTIC
pair-correlation,experiments/tfpt-discovery/paircorr_bridge_map_probe.py,USED_BY,HEURISTIC
pair-correlation,experiments/tfpt-discovery/paircorr_contract_probe.py,USED_BY,HEURISTIC
perron-fixed-point-transport,no-archimedean-prime-joint-space,BLOCKED_BY,THEOREM
perron-fixed-point-transport,spectral-framework,INSTANCE_OF,HEURISTIC
petz-watatani-tate-network,no-archimedean-prime-joint-space,BLOCKED_BY,CONDITIONAL
petz-watatani-tate-network,research-question,INSTANCE_OF,HEURISTIC
petz-watatani-tate-network,all-place-tate-weil-realization,REDUCES_TO,CONDITIONAL
pi-numerology-c3,class-number-formula-q-i,BLOCKED_BY,HEURISTIC
pi-numerology-c3,obstruction-class,INSTANCE_OF,HEURISTIC
pick-function,barrier-pick-sign,BLOCKED_BY,CONDITIONAL
pick-function,herglotz-function,EQUIVALENT_TO,THEOREM
pick-function,mellin-transform,REQUIRES,CONDITIONAL
pimsner-popa-entropy,analytic-object,INSTANCE_OF,HEURISTIC
plastic-number-threshold,analytic-object,INSTANCE_OF,HEURISTIC
polya-frequency-function,toeplitz-positivity,EQUIVALENT_TO,THEOREM
positive-cone-blindness,obstruction-class,INSTANCE_OF,HEURISTIC
positivity-semigroup,spectral-framework,INSTANCE_OF,HEURISTIC
positivity-semigroup,beurling-deny-criterion,REQUIRES,CONDITIONAL
prime-counting,analytic-object,INSTANCE_OF,HEURISTIC
prime-counting,chebyshev-psi,REQUIRES,THEOREM
prime-torus,arithmetic-geometry,INSTANCE_OF,HEURISTIC
prime-torus,von-mangoldt,REQUIRES,CONDITIONAL
primon-riemann-gas,analytic-object,INSTANCE_OF,HEURISTIC
primon-riemann-gas,event-log-function,WOULD_CLOSE,HEURISTIC
prolate-operator,spectral-framework,INSTANCE_OF,HEURISTIC
prolate-operator,fourier-transform,REQUIRES,CONDITIONAL
prolate-operator,landau-widom-asymptotics,REQUIRES,THEOREM
prolate-operator,experiments/tfpt-discovery/strat3_sonin_prolate_probe.py,USED_BY,HEURISTIC
prolate-operator,verification/v732_strat3_sonin_prolate.py,USED_BY,HEURISTIC
pure-gabor-family,experiments/tfpt-discovery/gabor_weil_positivity_subfamily_probe.py,USED_BY,HEURISTIC
qca-dilation,no-canonical-integer-label,BLOCKED_BY,CONDITIONAL
qca-dilation,analytic-object,INSTANCE_OF,HEURISTIC
quadrep,tfpt-compiler,INSTANCE_OF,HEURISTIC
quadrep,inner-bridges,REQUIRES,CONDITIONAL
quadrep,rh/problem/quadrep.pdf,USED_BY,HEURISTIC
quadrep,rh/problem/quadrep.tex,USED_BY,HEURISTIC
quantum-graph-decoupling-lemma,analytic-object,INSTANCE_OF,HEURISTIC
quantum-graph-decoupling-lemma,no-composite-orbits,REDUCES_TO,THEOREM
quantum-metric-graph,no-composite-orbits,BLOCKED_BY,CONDITIONAL
quantum-metric-graph,arithmetic-geometry,INSTANCE_OF,HEURISTIC
quantum-torus-geometry,no-archimedean-prime-joint-space,BLOCKED_BY,HEURISTIC
quantum-torus-geometry,arithmetic-geometry,INSTANCE_OF,HEURISTIC
quarter-shift-to-centre,obstruction-class,INSTANCE_OF,HEURISTIC
quasilocal-hamiltonian-dynamics,no-archimedean-prime-joint-space,BLOCKED_BY,CONDITIONAL
quasilocal-hamiltonian-dynamics,spectral-framework,INSTANCE_OF,HEURISTIC
quillen-bfk-seam-determinants,analytic-object,INSTANCE_OF,HEURISTIC
quillen-bfk-seam-determinants,experiments/tfpt-discovery/quillen_bfk_compensation_probe.py,USED_BY,HEURISTIC
quillen-bfk-seam-determinants,experiments/tfpt-discovery/seam_bfk_conical_det_probe.py,USED_BY,HEURISTIC
r-dagger-kernel-loewner-stack,spectral-framework,INSTANCE_OF,HEURISTIC
r-dagger-kernel-loewner-stack,experiments/tfpt-discovery/kernel_loewner08_probe.py,KILLED_BY,HEURISTIC
r-dagger-kernel-loewner-stack,experiments/tfpt-discovery/interval_cert_probe.py,USED_BY,HEURISTIC
r-dagger-kernel-loewner-stack,experiments/tfpt-discovery/kernel_loewner08_probe.py,USED_BY,HEURISTIC
r-dagger-kernel-loewner-stack,experiments/tfpt-discovery/kernel_loewner_window_probe.py,USED_BY,HEURISTIC
r-dagger-kernel-loewner-stack,rh/lean/RH/FaithfulFold.lean,USED_BY,HEURISTIC
r-dagger-kernel-loewner-stack,rh/lean/RH/InnerBridges.lean,USED_BY,HEURISTIC
r-dagger-kernel-loewner-stack,rh/problem/kernel_loewner08.pdf,USED_BY,HEURISTIC
r-dagger-kernel-loewner-stack,rh/problem/kernel_loewner08.tex,USED_BY,HEURISTIC
r-dagger-kernel-loewner-stack,rh/problem/keystone_judgment.pdf,USED_BY,HEURISTIC
r-dagger-kernel-loewner-stack,rh/problem/keystone_judgment.tex,USED_BY,HEURISTIC
r-dagger-kernel-loewner-stack,rh/problem/verify_kernel_loewner08.py,USED_BY,HEURISTIC
r-dagger-kernel-loewner-stack,verification/v1017_kernel_loewner_positivity.py,USED_BY,HEURISTIC
rankin-mean-pointwise-exponent-drop,obstruction-class,INSTANCE_OF,HEURISTIC
rankin-mean-pointwise-exponent-drop,experiments/tfpt-discovery/rankin_positivity_miniature_probe.py,KILLED_BY,THEOREM
rankin-selberg-norm-square,positive-cone-blindness,BLOCKED_BY,CONDITIONAL
rankin-selberg-norm-square,positive-cone-blindness,BLOCKED_BY,CONDITIONAL
rankin-selberg-norm-square,edge-nonvanishing-method,INSTANCE_OF,THEOREM
rankin-selberg-norm-square,spectral-framework,INSTANCE_OF,HEURISTIC
regulator-jump,analytic-object,INSTANCE_OF,HEURISTIC
relative-determinant,analytic-object,INSTANCE_OF,HEURISTIC
relative-determinant,cusp-surgery,REQUIRES,CONDITIONAL
relay-lead-law,tfpt-compiler,INSTANCE_OF,HEURISTIC
relay-lead-law,static-prime-event-log,REQUIRES,STATISTICAL
relay-lead-law,von-mangoldt,REQUIRES,HEURISTIC
resummed-clock-tower,no-canonical-integer-label,BLOCKED_BY,THEOREM
resummed-clock-tower,analytic-object,INSTANCE_OF,HEURISTIC
resummed-clock-tower,event-log-function,WOULD_CLOSE,HEURISTIC
rh-as-reflection-positivity,hilbert-polya-operator,EQUIVALENT_TO,THEOREM
rh-as-reflection-positivity,riemann-hypothesis,EQUIVALENT_TO,THEOREM
rh-as-reflection-positivity,weil-positivity,EQUIVALENT_TO,THEOREM
rh-as-reflection-positivity,analytic-object,INSTANCE_OF,HEURISTIC
rh-as-reflection-positivity,functional-equation,REQUIRES,THEOREM
rhp-iiks-toda-tau,spectral-framework,INSTANCE_OF,HEURISTIC
rhp-iiks-toda-tau,verification/v955_tau_iiks_toda_dictionary.py,USED_BY,HEURISTIC
riemann-hypothesis,baez-duarte-criterion,EQUIVALENT_TO,THEOREM
riemann-hypothesis,gabor-prime-side-criterion,EQUIVALENT_TO,THEOREM
riemann-hypothesis,gabor-pure-criterion,EQUIVALENT_TO,THEOREM
riemann-hypothesis,gabor-rational-criterion,EQUIVALENT_TO,THEOREM
riemann-hypothesis,jensen-hyperbolicity,EQUIVALENT_TO,THEOREM
riemann-hypothesis,li-criterion,EQUIVALENT_TO,THEOREM
riemann-hypothesis,newman-criterion,EQUIVALENT_TO,THEOREM
riemann-hypothesis,nyman-beurling-criterion,EQUIVALENT_TO,THEOREM
riemann-hypothesis,weil-positivity,EQUIVALENT_TO,THEOREM
riemann-hypothesis,research-question,INSTANCE_OF,HEURISTIC
riemann-hypothesis,critical-line,REQUIRES,THEOREM
riemann-kernel,analytic-object,INSTANCE_OF,HEURISTIC
riemann-kernel,fourier-transform,REQUIRES,THEOREM
riemann-kernel,xi-fourier-function,TRANSFORM_OF,THEOREM
riemann-kernel,experiments/tfpt-discovery/mellin_cofactor_nonreal_zero_probe.py,USED_BY,HEURISTIC
riemann-xi,analytic-object,INSTANCE_OF,HEURISTIC
riemann-xi,functional-equation,REQUIRES,THEOREM
riemann-xi,riemann-zeta,TRANSFORM_OF,CONDITIONAL
riemann-zeta,analytic-object,INSTANCE_OF,HEURISTIC
riemann-zeta,riemann-xi,REQUIRES,THEOREM
rigid-calabi-yau-f8,analytic-object,INSTANCE_OF,HEURISTIC
rigid-calabi-yau-f8,weight4-gl1-transport,INSTANCE_OF,THEOREM
rigid-calabi-yau-f8,tate-trace-projector,REQUIRES,THEOREM
rigid-calabi-yau-f8,experiments/tfpt-discovery/cuspidal_bridge_probe.py,USED_BY,HEURISTIC
rodgers-tao-theorem,debruijn-newman-constant,IMPLIES,THEOREM
rodgers-tao-theorem,analytic-object,INSTANCE_OF,HEURISTIC
rosati-positive-geometry,positive-cone-blindness,BLOCKED_BY,CONDITIONAL
rosati-positive-geometry,analytic-object,INSTANCE_OF,HEURISTIC
saddle-point-method,spectral-framework,INSTANCE_OF,HEURISTIC
saddle-point-method,mellin-transform,REQUIRES,CONDITIONAL
scaling-site,adele-class-space,GENERALIZES,CONDITIONAL
scaling-site,arithmetic-geometry,INSTANCE_OF,HEURISTIC
scaling-site,bost-connes-system,REQUIRES,CONDITIONAL
schoenberg-helical-embedding,screw-function-criterion,EQUIVALENT_TO,THEOREM
schoenberg-helical-embedding,analytic-object,INSTANCE_OF,HEURISTIC
screw-function-criterion,weil-positivity,EQUIVALENT_TO,THEOREM
screw-function-criterion,positivity-criterion,INSTANCE_OF,HEURISTIC
seam-geodesic,tfpt-compiler,INSTANCE_OF,HEURISTIC
seam-geodesic,cm-seam,REQUIRES,CONDITIONAL
seam-geodesic,experiments/tfpt-discovery/seam_geodesic_factor.py,USED_BY,HEURISTIC
seam-geodesic,experiments/tfpt-discovery/seam_geodesic_infrastructure_probe.py,USED_BY,HEURISTIC
seam-kms-gibbs-positivity,positive-cone-blindness,BLOCKED_BY,THEOREM
seam-kms-gibbs-positivity,analytic-object,INSTANCE_OF,HEURISTIC
seam-kms-gibbs-positivity,experiments/tfpt-discovery/e8_glue_lseries_selfdual_probe.py,USED_BY,HEURISTIC
seam-modular-generator,no-archimedean-prime-joint-space,BLOCKED_BY,CONDITIONAL
seam-modular-generator,spectral-framework,INSTANCE_OF,HEURISTIC
seam-os-positive-transfer,no-archimedean-prime-joint-space,BLOCKED_BY,CONDITIONAL
seam-os-positive-transfer,spectral-framework,INSTANCE_OF,HEURISTIC
seam-rp-blind-selector,positive-cone-blindness,BLOCKED_BY,THEOREM
seam-rp-blind-selector,analytic-object,INSTANCE_OF,HEURISTIC
selberg-trace-formula,analytic-object,INSTANCE_OF,HEURISTIC
selberg-trace-formula,metric-by-operator-positivity,INSTANCE_OF,THEOREM
selberg-trace-formula,eisenstein-series,REQUIRES,THEOREM
selberg-trace-formula,modular-surface,REQUIRES,THEOREM
selected-arch-error-quadratic-rate,analytic-object,INSTANCE_OF,HEURISTIC
selected-arch-error-quadratic-rate,rh/lean/RH/SelectedArchErrorQuadraticRateClassical.lean,USED_BY,HEURISTIC
selected-arch-error-quadratic-rate,rh/lean/RH/SelectedArchErrorQuadraticRateClassical.lean,USED_BY,CONDITIONAL
selected-arch-weighted-interpolation-estimate,research-question,INSTANCE_OF,HEURISTIC
selected-arch-weighted-interpolation-estimate,rh/lean/RH/SelectedArchErrorQuadraticRateClassical.lean,KILLED_BY,HEURISTIC
selected-arch-weighted-interpolation-estimate,rh/lean/RH/SelectedArchErrorQuadraticRateClassical.lean,USED_BY,HEURISTIC
selected-arch-weighted-interpolation-estimate,rh/lean/RH/SelectedArchErrorQuadraticRateClassical.lean,USED_BY,CONDITIONAL
selected-arch-weighted-interpolation-estimate,selected-arch-error-quadratic-rate,WOULD_CLOSE,CONDITIONAL
selected-polynomial-approximates-grid,research-question,INSTANCE_OF,HEURISTIC
selected-polynomial-approximates-grid,weil-positivity,REQUIRES,CONDITIONAL
selected-polynomial-approximates-grid,rh/problem/extraction_joint.pdf,USED_BY,HEURISTIC
selected-polynomial-approximates-grid,rh/problem/extraction_joint.tex,USED_BY,HEURISTIC
selected-polynomial-approximates-grid,rh/problem/verify_extraction_joint.py,USED_BY,HEURISTIC
